SKU,ISO_Week,Sales,Season,Promotion
SKU_103,2018-11,5495.0,SPRING,0.0
SKU_103,2018-12,6330.0,SPRING,0.0
SKU_103,2018-13,6144.0,SPRING,0.0
SKU_103,2018-14,6383.0,SPRING,0.0
SKU_103,2018-15,5533.0,SPRING,0.0
SKU_103,2018-15,5533.0,SPRING,0.0
SKU_103,2018-16,6619.0,SPRING,0.0
SKU_103,2018-17,-111.0,SPRING,0.0
SKU_103,2018-18,-149.0,SPRING,0.0
SKU_103,2018-19,-163.0,SPRING,0.0
SKU_103,2018-20,-119.0,SPRING,0.0
SKU_103,2018-21,11793.0,SPRING,1.0
SKU_103,2018-22,11583.0,SPRING,1.0
SKU_103,2018-23,11828.0,SUMMER,1.0
SKU_103,2018-24,11672.0,SUMMER,1.0
SKU_103,2018-25,10317.0,SUMMER,1.0
SKU_103,2018-26,10468.0,SUMMER,1.0
SKU_103,2018-27,10186.0,SUMMER,1.0
SKU_103,2018-28,10892.0,SUMMER,1.0
SKU_103,2018-29,10961.0,SUMMER,1.0
SKU_103,2018-30,52524.0,SUMMER,0.0
SKU_103,2018-31,10532.0,SUMMER,1.0
SKU_103,2018-32,10168.0,SUMMER,1.0
SKU_103,2018-33,11533.0,SUMMER,1.0
SKU_103,2018-34,11663.0,SUMMER,1.0
SKU_103,2018-35,10197.0,SUMMER,1.0
SKU_103,2018-36,11549.0,AUTUMN,1.0
SKU_103,2018-37,11856.0,AUTUMN,1.0
SKU_103,2018-38,4185.0,AUTUMN,0.0
SKU_103,2018-39,4357.0,AUTUMN,0.0
SKU_103,2018-40,3730.0,AUTUMN,0.0
SKU_103,2018-41,3158.0,AUTUMN,0.0
SKU_103,2018-42,3768.0,AUTUMN,0.0
SKU_103,2018-43,3929.0,AUTUMN,0.0
SKU_103,2018-44,4588.0,AUTUMN,0.0
SKU_103,2018-45,3212.0,AUTUMN,0.0
SKU_103,2018-46,14521.0,AUTUMN,1.0
SKU_103,2018-47,14510.0,AUTUMN,1.0
SKU_103,2018-48,12927.0,AUTUMN,1.0
SKU_103,2018-49,11595.0,WINTER,1.0
SKU_103,2018-50,10061.0,WINTER,1.0
SKU_103,2018-51,10859.0,WINTER,1.0
SKU_103,2018-52,13093.0,WINTER,1.0
